"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a user, I want to be able to add items to my cart by right-clicking on them and selecting ""Add to Cart"" from the context menu, so that I can quickly add items without having to left-click first.","1689","Verify adding a cup of coffee to the cart using right-click on the card","","2026-06-05","broken","2026-06-05","","Adding an item to the cart using right-click context menu","Verify adding a cup of coffee to the cart using right-click on the card",""
"","6026","Verify that hovering over the Total button shows the cart preview with correct items","","2026-06-05","failed","2026-06-05","","Cart Hover Preview","Verify that hovering over the Total button shows the cart preview with correct items",""
"Verify checkout email validation behavior when invalid email formats are used.","448","verifyValidationMessageForInvalidEmailDuringCheckout","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CheckoutEmailValidationTest","UI Tests","org.coffeecart5340.ui.CheckoutEmailValidationTest","verifyValidationMessageForInvalidEmailDuringCheckout"
"Verify that payment modal fields remain pre-filled after closing and reopening the modal.Also verify that all entered values are cleared after page refresh.","1105","verifyThatAllDetailFieldsRemainPreFilledAfterClosingThePaymentModal","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.PaymentModalPrefilledFieldsTest","UI Tests","org.coffeecart5340.ui.PaymentModalPrefilledFieldsTest","verifyThatAllDetailFieldsRemainPreFilledAfterClosingThePaymentModal"
"  As a user, I want to hover over the checkout button to quickly see my items","746","Verify that hovering over the Total button displays the quick cart preview on Desktop","","2026-06-05","broken","2026-06-05","","Quick Cart Preview","Verify that hovering over the Total button displays the quick cart preview on Desktop",""
"","713","verifyThatDoubleClickingOnACoffeeTitleTranslatesItToChinese","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.DoubleClickTranslatingTest","UI Tests","org.coffeecart5340.ui.DoubleClickTranslatingTest","verifyThatDoubleClickingOnACoffeeTitleTranslatesItToChinese"
"","1432","verifyDiscountIsNoLongerAvailableAfterDecreasingCartQuantity","TestSuite","2026-06-05","failed","2026-06-05","org.coffeecart5340.ui.CartPreviewTests","UI Tests","org.coffeecart5340.ui.CartPreviewTests","verifyDiscountIsNoLongerAvailableAfterDecreasingCartQuantity"
"  As a user, I want to ensure that if I fill in the fields in the purchase modal and then close it, the information I entered remains prefilled when I reopen the modal.","708","Verify that all detail fields remain pre-filled after clicking on the close button of the purchase modal","","2026-06-05","broken","2026-06-05","","Prefilled Fields After Closing the payment modal","Verify that all detail fields remain pre-filled after clicking on the close button of the purchase modal",""
"","686","verifyAddingCoffeeViaRightClickOnTheCard","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartManagementTests","UI Tests","org.coffeecart5340.ui.CartManagementTests","verifyAddingCoffeeViaRightClickOnTheCard"
"","571","TC-13 Verify that promo message appears only after adding the third coffee item","","2026-06-05","unknown","2026-06-05","","Promo message after adding third coffee item","TC-13 Verify that promo message appears only after adding the third coffee item",""
"Verify that after completing a successful purchase the cart becomes empty and the success message is displayed.","6432","verifyCartIsEmptyAfterSuccessfulPurchase","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.EmptyCartPageTests","UI Tests","org.coffeecart5340.ui.EmptyCartPageTests","verifyCartIsEmptyAfterSuccessfulPurchase"
"Verify that payment modal fields remain pre-filled after closing and reopening the modal.Also verify that all entered values are cleared after page refresh.","1027","verifyThatAllDetailFieldsRemainPreFilledAfterClosingThePaymentModal","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.PaymentModalPrefilledFieldsTest","UI Tests","org.coffeecart5340.ui.PaymentModalPrefilledFieldsTest","verifyThatAllDetailFieldsRemainPreFilledAfterClosingThePaymentModal"
"","1024","verifyEspressoMacchiatoCupIsDisplayedWithCorrectDataAndCanBeAddedToCart","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartManagementTests","UI Tests","org.coffeecart5340.ui.CartManagementTests","verifyEspressoMacchiatoCupIsDisplayedWithCorrectDataAndCanBeAddedToCart"
"","990","Verify payment form validation and successful submission without promo","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.PaymentModalCheckoutTest","UI Tests","org.coffeecart5340.ui.PaymentModalCheckoutTest","testPaymentFormValidations"
"","925","Verify successful checkout with promotional checkbox selected","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.PaymentModalCheckoutTest","UI Tests","org.coffeecart5340.ui.PaymentModalCheckoutTest","testPaymentFormWithPromoCheckbox"
"","569","ToDo","","2026-06-05","unknown","2026-06-05","","ToDo","ToDo",""
"Verify successful end-to-end checkout process after accepting promotional offer and modifying cart via hover preview","2757","testSuccessfulCheckoutWithPromo","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CheckoutWithPromoTest","UI Tests","org.coffeecart5340.ui.CheckoutWithPromoTest","testSuccessfulCheckoutWithPromo"
"Verify that hovering over the Total button shows the cart preview with correct items","5518","testTotalButtonPreviewOnHover","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartPreviewTests","UI Tests","org.coffeecart5340.ui.CartPreviewTests","testTotalButtonPreviewOnHover"
"Verify checkout email validation behavior when invalid email formats are used.","494","verifyValidationMessageForInvalidEmailDuringCheckout","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CheckoutEmailValidationTest","UI Tests","org.coffeecart5340.ui.CheckoutEmailValidationTest","verifyValidationMessageForInvalidEmailDuringCheckout"
"","596","TC-12 Verify that adding the same coffee multiple times updates quantity in Cart","","2026-06-05","unknown","2026-06-05","","Cart item quantity update","TC-12 Verify that adding the same coffee multiple times updates quantity in Cart",""
"TC-54: Verify item removal and total recalculation when decreasing quantity to zero via minus button","5622","verifyItemRemovalWhenDecreasingQuantityToZero","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartManagementTests","UI Tests","org.coffeecart5340.ui.CartManagementTests","verifyItemRemovalWhenDecreasingQuantityToZero"
"","588","EmptyCartPageCheckTest","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartManagementTests","UI Tests","org.coffeecart5340.ui.CartManagementTests","EmptyCartPageCheckTest"
"  As a user, I want to hover over the checkout button to quickly see my items","674","Verify that double-clicking on a coffee title translates it to Chinese","","2026-06-05","broken","2026-06-05","","Quick Cart Preview","Verify that double-clicking on a coffee title translates it to Chinese",""
"","5823","Display quick cart preview when hovering over the Total button","","2026-06-05","broken","2026-06-05","","Quick cart preview","Display quick cart preview when hovering over the Total button",""
"","5718","Promotional Mocha disappears when all qualifying products are removed","","2026-06-05","broken","2026-06-05","","Promotional drink offer removal after deleting qualifying items","Promotional Mocha disappears when all qualifying products are removed",""
"TC01 & TC06: Verify adding coffee updates cart counter, hover preview, cart contents, and total price","840","verifyAddCoffeeToCartUpdatesContentsAndTotal","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartManagementTests","UI Tests","org.coffeecart5340.ui.CartManagementTests","verifyAddCoffeeToCartUpdatesContentsAndTotal"
"TC-31: Verify that promo drink is added to cart after clicking agree button.","485","verifyPromoDrinkIsAddedToCartAfterClickingAgree","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.PromoDiscountTests","UI Tests","org.coffeecart5340.ui.PromoDiscountTests","verifyPromoDrinkIsAddedToCartAfterClickingAgree"
"","5633","CartPreviewCheck","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartPreviewTests","UI Tests","org.coffeecart5340.ui.CartPreviewTests","CartPreviewCheck"
"Verify that adding a discounted Mocha via promo cannot be increased beyond 1, and total price is calculated correctly.","351","verifyImpossibilityOfAddingExtraDiscountedMochaAfterPromo","TestSuite","2026-06-05","broken","2026-06-05","org.coffeecart5340.ui.PromoDiscountTests","UI Tests","org.coffeecart5340.ui.PromoDiscountTests","verifyImpossibilityOfAddingExtraDiscountedMochaAfterPromo"
"","2359","Verify payment form validation and successful submission without promo","","2026-06-05","passed","2026-06-05","","Payment Modal validations and submission","Verify payment form validation and successful submission without promo",""
"","157","testListItemComponent","TestSuite","2026-06-05","failed","2026-06-05","org.coffeecart5340.ui.TestExample","UI Tests","org.coffeecart5340.ui.TestExample","testListItemComponent"
"TC-056: Verify promotional offer triggers again if cart quantity falls below threshold and reaches multiple of 3 again.","6288","verifyPromotionalOfferTriggersAgainAfterCartQuantityDrop","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.PromoDiscountTests","UI Tests","org.coffeecart5340.ui.PromoDiscountTests","verifyPromotionalOfferTriggersAgainAfterCartQuantityDrop"
"","583","TC-43 Verify that Espresso Macchiato cup is displayed with correct data and can be added to the cart","","2026-06-05","unknown","2026-06-05","","Coffee cup details and cart functionality","TC-43 Verify that Espresso Macchiato cup is displayed with correct data and can be added to the cart",""
"","409","verifyThatTotalButtonOpensPaymentDetailsModal","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.PaymentModalOpenCloseTest","UI Tests","org.coffeecart5340.ui.PaymentModalOpenCloseTest","verifyThatTotalButtonOpensPaymentDetailsModal"
"  As a user, I want to ensure that if I fill in the fields in the purchase modal and then close it, the information I entered remains prefilled when I reopen the modal.","717","Verify that all detail fields remain pre-filled after clicking on the close button of the purchase modal","","2026-06-05","broken","2026-06-05","","Prefilled Fields After Closing the payment modal","Verify that all detail fields remain pre-filled after clicking on the close button of the purchase modal",""
"TC-14 - Verify that user can navigate between Menu and Cart pages using header links","5508","verifyNavigation","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.HeaderNavigationTest","UI Tests","org.coffeecart5340.ui.HeaderNavigationTest","verifyNavigation"
"TC-12: Verify that adding the same coffee multiple times from the Menu updates quantity in Cart","679","verifyUpdatesQuantityInCartFromMenuPage","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CartManagementTests","UI Tests","org.coffeecart5340.ui.CartManagementTests","verifyUpdatesQuantityInCartFromMenuPage"
"","1826","Verify successful checkout with promotional checkbox selected","","2026-06-05","passed","2026-06-05","","Payment Modal validations and submission","Verify successful checkout with promotional checkbox selected",""
"  As a user, I want to ensure that after I complete an order, my cart is empty so that I can start fresh for my next purchase.","714","Verify that the cart is empty after completing an order","","2026-06-05","broken","2026-06-05","","After completing an order, the cart should be empty.","Verify that the cart is empty after completing an order",""
"Verify that removing the only product from the cart updates the cart state to empty and displays the appropriate message.","5564","verifyRemovingItemFromTheCartUpdatesTheTotalAndCartState","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.EmptyCartPageTests","UI Tests","org.coffeecart5340.ui.EmptyCartPageTests","verifyRemovingItemFromTheCartUpdatesTheTotalAndCartState"
"","5730","Promo drink is not added to cart after declining the offer","","2026-06-05","broken","2026-06-05","","Promotional offer rejection","Promo drink is not added to cart after declining the offer",""
"Verify checkout email validation behavior when invalid email formats are used.","558","verifyValidationMessageForInvalidEmailDuringCheckout","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.CheckoutEmailValidationTest","UI Tests","org.coffeecart5340.ui.CheckoutEmailValidationTest","verifyValidationMessageForInvalidEmailDuringCheckout"
"  As a user, I want to ensure that when I add a discounted Mocha to the cart after adding 3 random items, I cannot add another one at the same discounted price, so that I can only benefit from the discount once per order.","695","Verify imposibility of adding extra discounted Mocha after adding 3 cups of coffee to the cart","","2026-06-05","broken","2026-06-05","","Impossibility of adding an extra discounted Mocha to the cart","Verify imposibility of adding extra discounted Mocha after adding 3 cups of coffee to the cart",""
"Verify that declining the promo discount closes the modal and cart count remains unchanged.","5580","verifyCartRemainsUnchangedAfterDecliningPromo","TestSuite","2026-06-05","passed","2026-06-05","org.coffeecart5340.ui.PromoDiscountTests","UI Tests","org.coffeecart5340.ui.PromoDiscountTests","verifyCartRemainsUnchangedAfterDecliningPromo"
